Index,Restaurant,Cuisine,Review,Response,Rating
193,Mama's Italian Kitchen,Italian,"Mama's Italian Kitchen has great pasta dishes and the garlic bread is amazing. However, the service can be slow at times and the restaurant can get noisy during peak hours.",Positive,4
194,The Rusty Spoon,American,I was really disappointed with The Rusty Spoon. The food was overpriced and not very tasty. The service was slow and the waiter seemed uninterested in helping us. I wouldn't recommend this place.,Negative,2
195,Sushi House,Japanese,"The sushi at Sushi House is decent, but nothing special. The service can be hit or miss and the atmosphere is nothing to write home about. Overall, it's a decent spot for a quick sushi fix.",Neutral,3
196,The Cozy Cafe,Breakfast,"The Cozy Cafe has a nice ambiance and the coffee is good, but the food is just average. The pancakes were a bit dry and the eggs were overcooked. The service was friendly though.",Neutral,3
197,La Bella Vita,Italian,"La Bella Vita has a nice atmosphere and the service was good, but the food was just okay. I had the lasagna, which was a bit dry and lacked flavor. The tiramisu was good though.",Neutral,3
198,The Greasy Spoon,Diner,The Greasy Spoon is not a place I would recommend. The food was greasy and not very appetizing. The service was slow and the waitress seemed uninterested in our table. I would suggest finding another diner to eat at.,Negative,1
199,Bland Burger Joint,American,"The burgers at Bland Burger Joint are just that - bland. There's nothing special about them and they're overpriced for what you get. The fries were okay, but not enough to redeem the meal.",Negative,2
200,The Spicy Noodle,Thai,"The Spicy Noodle lives up to its name - the food is incredibly spicy. If you're not a fan of heat, I would stay away from this place. The service was okay, but not great.",Negative,2
201,The Frozen Yogurt Shop,Dessert,"The Frozen Yogurt Shop has a good selection of toppings, but the frozen yogurt itself was just average. The service was good though, and the shop is a nice place to hang out with friends.",Neutral,3
202,The Fancy French Bistro,French,"The Fancy French Bistro is overpriced and the portions are small. The food was decent, but not worth the high price tag. The service was good though.",Negative,2
203,The Authentic Indian Restaurant,Indian,"The Authentic Indian Restaurant has good food, but the service can be slow at times. The ambiance is nothing special, but the flavors in the dishes are really good.",Positive,4
204,The Mexican Cantina,Mexican,"The Mexican Cantina has great margaritas and the chips and salsa are addictive. However, the food can be hit or miss and the service can be slow during busy hours.",Positive,4
205,La Trattoria,Italian,The pasta was perfectly cooked and the sauce had just the right amount of spice. I highly recommend this restaurant!,Positive,5
206,The Steakhouse,American,The steak was overcooked and dry. The service was slow and the prices were too high for the quality of the food. Disappointing experience.,Negative,2
207,Sushi Heaven,Japanese,"The sushi rolls were fresh and flavorful. The miso soup was a bit salty for my taste, but overall it was a great meal.",Positive,4
208,Curry House,Indian,The chicken tikka masala was delicious and had just the right amount of spice. The naan bread was also very good. I will definitely be coming back here!,Positive,5
209,The Burger Joint,American,The burgers were huge and juicy. The fries were crispy and seasoned perfectly. Highly recommend this spot for a casual meal.,Positive,4
210,Tacos y Tequila,Mexican,"The margaritas were delicious and the tacos were packed with flavor. The only downside was the service, which was slow and inattentive.",Neutral,3
211,Bistro 21,French,The steak frites were cooked to perfection and the escargot was delicious. The service was impeccable and the atmosphere was cozy and inviting. A must-visit for French food lovers.,Positive,5
212,Thai Palace,Thai,The Pad Thai was a bit bland and lacking in flavor. The service was also slow and inattentive. Disappointing experience overall.,Negative,2
213,The Seafood Shack,Seafood,"The oysters were fresh and delicious, and the lobster bisque was out of this world. The prices were a bit steep, but the quality of the food was worth it.",Positive,4
214,Spice of India,Indian,"The lamb vindaloo was spicy and flavorful. The garlic naan was also very good. The service was a bit slow, but overall it was a great meal.",Positive,4
215,Sushi Palace,Japanese,"The sushi rolls were fresh and expertly prepared. The prices were a bit steep, but the quality of the food was worth it. Highly recommend.",Positive,4
216,The Grill House,American,"The steak was cooked to perfection and the garlic mashed potatoes were heavenly. The only downside was the noise level, which was quite high.",Positive,4
217,La Piazza,Italian,"The pizza was delicious and the pasta was cooked al dente. The service was a bit slow, but overall it was a great meal.",Positive,4
218,The Crab Shack,Seafood,"The crab legs were huge and juicy, and the garlic butter sauce was delicious. Highly recommend this spot for seafood lovers.",Positive,5
219,The Noodle House,Asian,"The ramen was a bit too salty for my taste, but the dumplings were delicious. The service was also slow and inattentive.",Negative,2
220,The Vegetarian Spot,Vegetarian,The falafel wrap was packed with flavor and the hummus was creamy and delicious. Highly recommend this spot for vegetarians and non-vegetarians alike.,Positive,5
221,The Fork,Italian,"The atmosphere was great and the service was good, but the food was just average. I had higher expectations based on the reviews I read.",Neutral,3
222,Saffron Grill,Indian,This restaurant had excellent food and great service. The spices and flavors in the dishes were perfect. I would definitely recommend this restaurant.,Positive,5
223,The Pasta House,Italian,I had a terrible experience at this restaurant. The service was slow and the food was cold when it finally arrived. I would not recommend this place.,Negative,1
224,The Fisherman's Wharf,Seafood,The view from this restaurant was breathtaking. The seafood was fresh and delicious. The service was excellent.,Positive,4
225,Spice Bazaar,Indian,"The food at this restaurant was average, but the service was great. Our waiter was very friendly and accommodating.",Neutral,3
226,The Chophouse,Steakhouse,The steak at this restaurant was perfectly cooked and seasoned. The sides were also delicious. The service was attentive and friendly.,Positive,5
227,The Curry House,Indian,"The food at this restaurant was very spicy, but still enjoyable. The service was fast and friendly.",Positive,4
228,The Blue Crab,Seafood,I had a terrible experience at this restaurant. The service was slow and the food was overcooked. I would not recommend this place.,Negative,2
229,The Rustic Kitchen,Italian,"The atmosphere at this restaurant was cozy and inviting. The food was good, but nothing to write home about. The service was friendly.",Neutral,3
230,The Burger Joint,American,The burgers at this restaurant were delicious and juicy. The fries were also great. The service was quick and friendly.,Positive,4
231,The Olive Garden,Italian,The food at this restaurant was mediocre at best. The service was slow and inattentive. I would not recommend this place.,Negative,2
232,The Sushi Spot,Japanese,The sushi at this restaurant was fresh and tasty. The service was attentive and friendly. I would definitely go back.,Positive,5
233,The BBQ Shack,American,The ribs at this restaurant were fall-off-the-bone tender and the sauce was delicious. The service was also excellent.,Positive,5
234,The Bistro,French,The food at this restaurant was beautifully presented and tasted amazing. The service was also impeccable.,Positive,5
235,The Italian Kitchen,Italian,The food at this restaurant was delicious and authentic. The service was also friendly and attentive.,Positive,4
236,The Red Lobster,Seafood,The seafood at this restaurant was mediocre and overpriced. The service was slow and inattentive. I would not recommend this place.,Negative,2
237,The Noodle House,Asian,The noodles at this restaurant were cooked perfectly and the broth was full of flavor. The service was also friendly.,Positive,4
238,The Steakhouse,Steakhouse,The steak at this restaurant was cooked to perfection and the sides were also delicious. The service was attentive and friendly.,Positive,4
239,The Rusty Spoon,American,"I had high hopes for The Rusty Spoon but was disappointed with the quality of the food. The service was good, but the food was lacking in flavor and presentation. I wouldn't recommend this restaurant.",Negative,2
240,Sushi Palace,Japanese,Sushi Palace is one of my favorite sushi restaurants in town. The fish is always fresh and the rolls are creative and delicious. The service is prompt and friendly too. Highly recommend!,Positive,5
241,La Piazza,Italian,"La Piazza has amazing Italian food. The pasta is always cooked perfectly and the sauces are flavorful. The atmosphere is cozy and intimate, perfect for a date night. I highly recommend the tiramisu for dessert.",Positive,4
242,Thai Taste,Thai,"I had a mediocre experience at Thai Taste. The pad thai was too sweet and lacked the spicy kick I was looking for. The service was average but nothing stood out. Overall, I wouldn't go out of my way to come back.",Negative,2
243,The Steakhouse,American,"The Steakhouse is hands down the best steakhouse in town. The meat is always cooked to perfection and seasoned just right. The sides are delicious too, especially the loaded baked potato. The only downside is that it can be pricey.",Positive,5
244,The Indian Kitchen,Indian,"The Indian Kitchen has a great selection of dishes to choose from. The chicken tikka masala is always a favorite of mine. The service is prompt and friendly, and the atmosphere is cozy. Highly recommend!",Positive,4
245,La Maison,French,La Maison is a hidden gem in the city. The food is absolutely delicious and the presentation is beautiful. The atmosphere is romantic and intimate. The only downside is that it can be a bit pricey.,Positive,4
246,Tokyo Bistro,Japanese,"Tokyo Bistro has decent sushi rolls, but the service is slow and the prices are too high for the quality of food. I wouldn't go out of my way to come back.",Negative,2
247,The Burger Joint,American,"The Burger Joint has some of the best burgers in town. They're juicy and flavorful, and the toppings are fresh and creative. The fries are also a standout. Highly recommend!",Positive,5
248,Spice Market,Thai,"I had an average experience at Spice Market. The service was friendly, but the food lacked the bold flavors I was hoping for. It was also a bit overpriced for what it was. I wouldn't necessarily recommend it.",Neutral,3
249,Napoli's,Italian,"Napoli's has delicious pizza and pasta dishes. The service is prompt and friendly, and the atmosphere is cozy. The only downside is that it can be a bit noisy. Highly recommend the margherita pizza.",Positive,4
250,The Garden,Vegetarian,The Garden is a great spot for vegetarians. The falafel wrap is delicious and filling. The service is prompt and friendly too. Highly recommend!,Positive,4
251,The Kebab Shop,Mediterranean,The Kebab Shop has great falafel and chicken shawarma. The prices are reasonable and the service is prompt. The only downside is that it can be a bit crowded during peak hours.,Positive,4
252,The Spice House,Indian,"I had high hopes for this restaurant, but I was disappointed. The food was bland and the service was slow.",Negative,2
253,Sushi Shogun,Japanese,"The sushi was fresh and delicious, but the service was terrible. We had to wait 30 minutes just to be seated.",Neutral,3
254,Bella Italia,Italian,The pasta was overcooked and the sauce was too salty. The garlic bread was the only good thing about the meal.,Negative,2
255,The Cheesesteak,American,The cheesesteak was greasy and the fries were cold. I wouldn't recommend this restaurant.,Negative,2
256,The Garden Table,Vegetarian,The atmosphere was pleasant and the food was fresh and flavorful. A great option for vegetarians.,Positive,4
257,The Grill Room,Steakhouse,"The steak was cooked to perfection and the sides were delicious. However, the service was slow.",Positive,4
258,Thai Time,Thai,"The pad thai was too sweet for my liking, but the green curry was spicy and delicious.",Neutral,3
259,The Crab Shack,Seafood,"The crab legs were delicious, but the service was slow and the prices were high.",Neutral,3
260,La Taqueria,Mexican,"The tacos were flavorful and the margaritas were strong. However, the service was slow.",Positive,4
261,The Lemon Tree,Mediterranean,"The hummus and pita were delicious, but the falafel was dry.",Neutral,3
262,The Pizzeria,Italian,"The pizza was delicious and the garlic knots were a great appetizer. However, the service was slow.",Positive,4
263,The Noodle House,Chinese,The noodles were overcooked and the sauce was too salty. The wonton soup was good though.,Negative,2
264,The Burger Joint,American,The burger was cooked perfectly and the fries were crispy. The milkshake was too sweet for my liking.,Positive,4
265,The Sizzling Pot,Korean,"The bulgogi was delicious and the service was friendly. However, the banchan was limited.",Positive,4
266,The Veggie Cafe,Vegetarian,The veggie burger was dry and tasteless. The smoothies were good though.,Negative,2
267,The Lobster Pot,Seafood,"The lobster was fresh and delicious, but the prices were high.",Neutral,3
268,The Italian Oven,Italian,The pasta was al dente and the sauce was flavorful. A great option for Italian food.,Positive,4
269,The Curry House,Indian,The curry was flavorful and the naan was fresh. The service was a bit slow though.,Positive,4
270,The Sushi Bar,Japanese,"The sushi was fresh and delicious, but the miso soup was too salty.",Negative,2
271,The Bistro,French,"The atmosphere at The Bistro is lovely, with dim lighting and candles creating a romantic ambiance. Our server was friendly and attentive, offering great wine recommendations. However, the entrees were quite underwhelming, lacking in flavor and presentation. Overall, a decent dining experience.",Neutral,3
272,Tokyo Sushi,Japanese,Tokyo Sushi has a great selection of sushi rolls and sashimi. The fish is fresh and the flavors are delicious. The atmosphere is simple and modern. I particularly enjoyed the eel roll and the spicy tuna roll. Highly recommended!,Positive,5
273,Bella Italia,Italian,I was really disappointed with my meal at Bella Italia. The pasta was overcooked and the sauce was too salty. The server was also very inattentive and seemed to be rushing us through our meal. Not a great experience overall.,Negative,2
274,Spice Garden,Indian,"The food at Spice Garden is incredibly flavorful and aromatic. I loved the chicken tikka masala and the garlic naan. The service was friendly and attentive, and the ambiance was cozy and inviting. Highly recommend!",Positive,5
275,Sushi Spot,Japanese,"Sushi Spot is a great spot for a quick and affordable lunch. The sushi rolls are fresh and tasty, and they have a good variety of options to choose from. The service can be a bit slow during peak hours, but overall it's a good choice for sushi on-the-go.",Positive,4
276,The Steakhouse,American,"The Steakhouse had a great ambiance and our server was very attentive. The steak was cooked perfectly to our liking and the sides were flavorful and satisfying. The only downside was the high prices, but it's worth it for a special occasion.",Positive,4
277,Thai House,Thai,"I was really disappointed with my experience at Thai House. The Pad Thai was dry and lacked flavor, and the curry was too spicy for my liking. The service was also quite slow and inattentive. Overall, not a great choice for Thai food.",Negative,2
278,La Cantina,Mexican,"La Cantina has a great atmosphere, with vibrant decor and music. The tacos were delicious, with juicy and flavorful fillings. The margaritas were also great, with just the right amount of sweetness. Highly recommend for a fun night out!",Positive,5
279,Pizza Palace,Italian,"Pizza Palace has some of the best pizza in town. The crust is crispy and the toppings are always fresh and flavorful. The only downside is that it can be quite busy and noisy during peak hours, but it's worth it for the delicious pizza.",Positive,4
280,The Diner,American,"The Diner has a classic diner vibe, with a jukebox and retro decor. The milkshakes are thick and creamy, and the burgers are juicy and flavorful. The only downside is that the service can be a bit slow during busy hours. Overall, a good choice for a casual meal.",Neutral,3
281,Spice Village,Indian,"I was really impressed with the food and service at Spice Village. The flavors were bold and aromatic, and the spice level was just right. The service was also very attentive and friendly. Highly recommend the butter chicken and garlic naan!",Positive,5
282,Spice Palace,Indian,The food was average at best. I was disappointed with the quality and the service was slow.,Negative,2
283,La Pizzeria,Italian,The pizza was decent but nothing special. Service was slow and the atmosphere was lacking.,Neutral,3
284,The Burger Joint,American,"The burgers were overcooked and dry, and the fries were cold. The only saving grace was the friendly service.",Negative,2
285,Sushi Sensation,Japanese,"The sushi was fresh and delicious, but the service was slow and the prices were a bit high.",Positive,4
286,Mediterranean Bites,Mediterranean,"I loved the hummus and falafel, but the service was a bit slow. Overall, a good experience.",Positive,4
287,Thai Terrace,Thai,"The pad thai was too sweet for my taste and the service was slow. The decor was nice, but the food was disappointing.",Negative,2
288,The Steakhouse,American,"The steak was perfectly cooked and delicious, but the sides were just okay. The atmosphere was cozy and inviting.",Positive,4
289,Cafe Au Lait,French,"The croissants were flaky and buttery, and the coffee was strong and flavorful. A great spot for breakfast or brunch.",Positive,5
290,El Ranchero,Mexican,The tacos were tasty but a bit overpriced. The service was friendly but a bit slow.,Neutral,3
291,Noodle Nation,Chinese,"The noodles were greasy and overcooked, and the service was rude. I wouldn't recommend this place.",Negative,1
292,The Chop House,Steakhouse,The steak was perfectly cooked and the sides were delicious. The atmosphere was upscale and elegant.,Positive,5
293,Little Italy,Italian,"The pasta was cooked to perfection and the sauce was flavorful. The service was a bit slow, but the food made up for it.",Positive,4
294,The Fisherman's Catch,Seafood,"The seafood was fresh and delicious, but the service was slow and the prices were a bit high.",Positive,4
295,La Taqueria,Mexican,The tacos were flavorless and the service was slow. I wouldn't recommend this place to anyone.,Negative,2
296,Cafe de Paris,French,"The quiche and salad were fresh and delicious, and the service was friendly and attentive. A great spot for lunch or brunch.",Positive,5
297,Saffron Spice,Indian,"The curry was too spicy and the service was slow. The decor was nice, but the food was disappointing.",Negative,2
298,The Sizzling Wok,Chinese,"The stir-fry was flavorful and fresh, but the service was slow and the restaurant was a bit noisy.",Neutral,3
299,The Brasserie,French,The steak frites were perfectly cooked and the service was attentive. The atmosphere was nice.,Positive,4
300,Thai Garden,Thai,"The food was okay, but the service was very slow. We had to wait a long time for our food to come out. Overall, it was an average experience.",Neutral,3
301,Bella Italia,Italian,The pasta was overcooked and the sauce was too salty. The only saving grace was the garlic bread. Disappointing meal overall.,Negative,2
302,Sushi Samba,Japanese/Peruvian,"This place has a great vibe and the sushi is amazing. I particularly enjoyed the Peruvian-style rolls. The drinks are a bit expensive, but it's worth it for the experience.",Positive,4
303,La Taqueria,Mexican,"The tacos were very flavorful and the guacamole was fresh. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
304,Bistro 18,French,The food was absolutely delicious and beautifully presented. The service was also top-notch. Would definitely recommend for a special occasion.,Positive,5
305,China Star,Chinese,"The food was very greasy and lacked flavor. It was also disappointing to see that they use a lot of MSG in their dishes. Overall, would not recommend.",Negative,2
306,Seoul Kitchen,Korean,"The kimchi fried rice was incredible and the bibimbap was also very tasty. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
307,Pizzeria Uno,Italian,The deep-dish pizza was amazing and definitely worth the wait. The service was also friendly and efficient. Would definitely come back again.,Positive,5
308,Taqueria Cancun,Mexican,The tacos were delicious and authentic. The only downside was that the portion sizes were quite small for the price.,Positive,4
309,Le Bernardin,French,The food was exquisite and the service was impeccable. Definitely worth the splurge for a special occasion.,Positive,5
310,Golden Lotus,Vietnamese,"The pho was very flavorful and the spring rolls were fresh. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
311,Bangkok Garden,Thai,"The curries were delicious and the service was attentive. However, the portion sizes were quite small for the price.",Positive,4
312,Indian Palace,Indian,"The chicken tikka masala was amazing and the garlic naan was fresh. However, the service was a bit slow and it took a long time for our food to come out.",Neutral,3
313,P.F. Chang's,Chinese,"The lettuce wraps were delicious and the kung pao chicken had a nice kick to it. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
314,Tres Carnes,Mexican,"The smoked brisket was incredible and the sides were also very tasty. However, the service was a bit slow and it took a long time for our food to come out.",Neutral,3
315,Olive Garden,Italian,The pasta dishes were tasty and the breadsticks were fresh. However service was slow and staff was bit rude.,Neutral,3
316,Saffron Spice,Indian,"The curry was too spicy and the service was slow. The decor was nice, but the food was disappointing.",Negative,2
317,The Sizzling Wok,Chinese,"The stir-fry was flavorful and fresh, but the service was slow and the restaurant was a bit noisy.",Neutral,3
318,The Brasserie,French,The steak frites were perfectly cooked and the service was attentive. The atmosphere was warm and cozy.,Positive,4
319,Thai Garden,Thai,"The food was okay, but the service was very slow. We had to wait a long time for our food to come out. Overall, it was an average experience.",Neutral,3
320,Bella Italia,Italian,The pasta was overcooked and the sauce was too salty. The only saving grace was the garlic bread. Disappointing meal overall.,Negative,2
321,Sushi Samba,Japanese/Peruvian,"This place has a great vibe and the sushi is amazing. I particularly enjoyed the Peruvian-style rolls. The drinks are a bit expensive, but it's worth it for the experience.",Positive,4
322,La Taqueria,Mexican,"The tacos were very flavorful and the guacamole was fresh. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
323,Bistro 18,French,The food was absolutely delicious and beautifully presented. The service was also top-notch. Would definitely recommend for a special occasion.,Positive,5
324,China Star,Chinese,"The food was very greasy and lacked flavor. It was also disappointing to see that they use a lot of MSG in their dishes. Overall, would not recommend.",Negative,2
325,Seoul Kitchen,Korean,"The kimchi fried rice was incredible and the bibimbap was also very tasty. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
326,Pizzeria Uno,Italian,The deep-dish pizza was amazing and definitely worth the wait. The service was also friendly and efficient. Would definitely come back again.,Positive,5
327,Taqueria Cancun,Mexican,The tacos were delicious and authentic. The only downside was that the portion sizes were quite small for the price.,Positive,4
328,Le Bernardin,French,The food was exquisite and the service was impeccable. Definitely worth the splurge for a special occasion.,Positive,5
329,Golden Lotus,Vietnamese,"The pho was very flavorful and the spring rolls were fresh. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
330,Bangkok Garden,Thai,"The curries were delicious and the service was attentive. However, the portion sizes were quite small for the price.",Positive,4
331,Indian Palace,Indian,"The chicken tikka masala was amazing and the garlic naan was fresh. However, the service was a bit slow and it took a long time for our food to come out.",Neutral,3
332,P.F. Chang's,Chinese,"The lettuce wraps were delicious and the kung pao chicken had a nice kick to it. However, the service was quite slow and it took a long time for our food to come out.",Neutral,3
333,Tres Carnes,Mexican,"The smoked brisket was incredible and the sides were also very tasty. However, the service was a bit slow and it took a long time for our food to come out.",Neutral,3
334,Olive Garden,Italian,The pasta dishes were tasty and the breadsticks were fresh. ,Neutral,3
335,The Green Cafe,Vegetarian,"The atmosphere was very cozy and the staff were friendly. The food was decent, but nothing stood out to me. Overall, it was a pleasant experience.",Neutral,3
336,Mama's Italian Kitchen,Italian,I was disappointed with my meal at Mama's Italian Kitchen. The pasta was overcooked and the sauce was bland. The only redeeming quality was the garlic bread.,Negative,2
337,Sushi House,Japanese,The sushi at Sushi House was fresh and delicious. I particularly enjoyed the tuna roll and the miso soup. The service was prompt and attentive.,Positive,4
338,El Mariachi,Mexican,"The margaritas at El Mariachi were strong and flavorful, but the food was just okay. I ordered the enchiladas and they were a bit dry. The atmosphere was lively and the service was friendly.",Neutral,3
339,The French Quarter,French,The French Quarter is a charming little restaurant with a great ambiance. The escargot was delicious and the steak was cooked to perfection. The service was attentive and courteous. Highly recommend.,Positive,5
340,Big Daddy's BBQ,American,"The barbecue at Big Daddy's was a bit disappointing. The meat was dry and lacked flavor. The sides were good, but not enough to make up for the main course. The service was decent.",Negative,2
341,Shanghai Nights,Chinese,"Shanghai Nights had some of the best Chinese food I've ever tasted. The dumplings were juicy and flavorful, and the kung pao chicken was perfectly spicy. The service was prompt and friendly.",Positive,5
342,The Greek Spot,Greek,"The gyro at The Greek Spot was flavorful and filling, but the tzatziki sauce was a bit too heavy on the garlic for my taste. The service was quick and efficient.",Neutral,3
343,La Taqueria,Mexican,"La Taqueria is a hidden gem with amazing tacos. The al pastor was my favorite, and the salsa bar had a great variety of options. The service was friendly and attentive. Highly recommend.",Positive,5
344,The Red Lion,British,"The Red Lion has a great selection of beer and pub food. The fish and chips were crispy and delicious, and the bangers and mash were flavorful. The service was friendly and efficient.",Positive,4
345,Cafe au Lait,French,"Cafe au Lait has a cozy and romantic atmosphere. The croissants were buttery and flaky, and the coffee was rich and flavorful. The service was attentive and courteous. Highly recommend.",Positive,5
346,Thai Spice,Thai,"I was disappointed with my meal at Thai Spice. The pad thai was bland and lacked flavor, and the green curry was too spicy for my taste. The service was decent.",Negative,2
347,The Cheesecake Factory,American,"The Cheesecake Factory has an overwhelming menu with a wide variety of options. The portions are huge, and everything we ordered was delicious. The service was friendly and attentive. Highly recommend.",Positive,5
348,Sakura Sushi,Japanese,"The sushi at Sakura Sushi was fresh and delicious. The dragon roll was my favorite, and the miso soup was comforting. The service was prompt and courteous.",Positive,4
349,The French Kitchen,French,"The French Kitchen is a charming little restaurant that serves delicious food. I especially enjoyed their beef bourguignon and their chocolate mousse dessert. The service was excellent, and the ambiance was cozy and romantic. Highly recommend!",Positive,5
350,Mama's Italian Kitchen,Italian,"Mama's Italian Kitchen has some of the best pasta dishes I have ever tasted. I particularly enjoyed their fettuccine alfredo and their lasagna. The staff was friendly and attentive, and the atmosphere was warm and inviting. Definitely worth a visit.",Positive,4
351,Sushi Palace,Japanese,"I was really disappointed with my experience at Sushi Palace. The sushi was not fresh and the rolls were poorly made. The service was slow and inattentive, and the atmosphere was dull and uninspired. I would not recommend this restaurant.",Negative,2
352,The Grill House,American,"The Grill House is a great spot for a hearty meal. The burgers are big and juicy, and the fries are crispy and delicious. The staff is friendly and accommodating, and the prices are reasonable. Highly recommend!",Positive,4
353,Thai Garden,Thai,"Thai Garden has some of the most flavorful and authentic Thai cuisine in the city. The pad thai and green curry were both excellent. The service was friendly and prompt, and the atmosphere was relaxed and casual. Highly recommend!",Positive,5
354,La Pizzeria,Italian,"I was really disappointed with my meal at La Pizzeria. The pizza was dry and flavorless, and the toppings were sparse. The service was slow and inattentive, and the atmosphere was noisy and chaotic. Would not recommend.",Negative,2
355,The Greek Taverna,Greek,"The Greek Taverna is a wonderful restaurant with amazing food and service. The moussaka and gyros were both outstanding, and the baklava for dessert was heavenly. The staff was warm and welcoming, and the atmosphere was lively and fun. Highly recommend!",Positive,5
356,Sushi World,Japanese,"Sushi World is a great spot for fresh and delicious sushi. The rolls are beautifully presented and taste amazing. The service is efficient and friendly, and the atmosphere is sleek and modern. Highly recommend!",Positive,4
357,La Belle Epoque,French,"La Belle Epoque is a charming French bistro with excellent food and service. The escargot and coq au vin were both delicious, and the creme brulee for dessert was divine. The staff was attentive and friendly, and the atmosphere was cozy and intimate. Highly recommend!",Positive,5
358,China Palace,Chinese,"I was really disappointed with my experience at China Palace. The food was greasy and bland, and the service was slow and inattentive. The atmosphere was dingy and uninviting. Would not recommend.",Negative,2
359,Casa de Amigos,Mexican,"Casa de Amigos is a great spot for tasty and authentic Mexican food. The tacos and enchiladas were both excellent, and the margaritas were delicious. The service was friendly and efficient, and the atmosphere was festive and lively. Highly recommend!",Positive,4
360,The Rusty Spoon,American,"The Rusty Spoon is a cozy little restaurant with a warm and inviting atmosphere. The steak and mashed potatoes were both outstanding,",Positive,5
361,The Olive Garden,Italian,"The food was just okay. Not bad, but not great either. I've had better Italian food.",Neutral,3
362,Mama's Kitchen,American,I absolutely loved the burger and fries here. The service was great too!,Positive,5
363,The Pizzeria,Italian,The pizza was undercooked and lacked flavor. I was very disappointed.,Negative,2
364,Sushi House,Japanese,The sushi here is always fresh and delicious. Highly recommend!,Positive,5
365,The Steakhouse,American,I was disappointed with the steak. It was overcooked and lacked flavor.,Negative,2
366,Thai Delight,Thai,The pad thai here is one of the best I've ever had. Highly recommend!,Positive,5
367,The Seafood Shack,Seafood,The crab legs were overpriced and lacked flavor. Not worth it.,Negative,2
368,La Taqueria,Mexican,"The tacos were okay, but nothing special. I've had better elsewhere.",Neutral,3
369,The Bistro,French,The atmosphere here is lovely and the food was delicious. Highly recommend!,Positive,4
370,The Burger Joint,American,The burger was dry and lacked flavor. I was disappointed.,Negative,2
371,The Ramen House,Japanese,The ramen here was delicious and flavorful. Highly recommend!,Positive,5
372,The Sizzling Szechuan,Chinese,"The kung pao chicken was too spicy for my taste, but the dumplings were delicious.",Neutral,3
373,The BBQ Pit,American,The ribs were falling off the bone and the sauce was perfect. Highly recommend!,Positive,5
374,The Indian Palace,Indian,"The naan was a bit dry, but the curry was delicious. Overall, a good meal.",Neutral,3
375,The Vegan Cafe,Vegan,The quinoa salad was delicious and the service was great. Highly recommend!,Positive,4
376,The Greasy Spoon,American,The breakfast here was delicious and greasy in all the right ways. Highly recommend!,Positive,4
377,The Noodle Bar,Asian,"The noodle bowl was a bit too salty for my taste, but still tasty overall.",Neutral,3
378,The Italian Trattoria,Italian,The pasta was overcooked and the sauce was too sweet. Disappointing.,Negative,2
379,The Korean BBQ,Korean,The meat was high quality and the marinade was flavorful. Highly recommend!,Positive,5
380,The Fish Fry,Seafood,The fish was fresh and delicious. Highly recommend!,Positive,4
381,The Cozy Cafe,American,The pancakes were fluffy and the coffee was strong. Highly recommend!,Positive,4
382,The Sushi Bar,Japanese,The sashimi was incredibly fresh and the presentation was beautiful. Highly recommend!,Positive,5
383,The Burrito Factory,Mexican,"The burrito was huge and filling, but lacking in flavor.",Neutral,3
384,The Italian Job,Italian,The pizza here is amazing! The crust is crispy and the toppings are so flavorful. I also had their lasagna which was rich and hearty. Would definitely recommend.,Positive,5
385,The Italian Job,Italian,"The pasta here is decent, but the service could use some work. The server was not attentive and seemed annoyed when we asked questions about the menu.",Negative,2
386,The Burger Joint,American,This place has some of the best burgers I've ever had! The meat is juicy and the toppings are fresh. Their fries are also delicious. Highly recommend!,Positive,5
387,The Burger Joint,American,"The burgers were overcooked and dry, and the fries were cold. Not worth the price. Disappointed with the quality of food.",Negative,2
388,Sushi Spot,Japanese,The sushi here is fantastic! So fresh and the presentation is beautiful. The miso soup is also amazing. Would definitely come back for more.,Positive,5
389,Sushi Spot,Japanese,"The service here is really slow, and the sushi was just average. Not worth the wait. Disappointed with the overall experience.",Negative,2
390,The French Cafe,French,The croissants here are to die for! So flaky and buttery. The coffee is also excellent. Would highly recommend for a quick breakfast.,Positive,5
391,The French Cafe,French,"The service was extremely slow, and the food was not worth the price. Disappointed with the overall experience.",Negative,2
392,Thai Tasty,Thai,The pad thai here is incredible! So much flavor and just the right amount of spice. The mango sticky rice is also a must-try. Will definitely be back.,Positive,5
393,Thai Tasty,Thai,The green curry was too salty and lacked flavor. The service was also slow and inattentive. Disappointed with the overall experience.,Negative,2
394,The Steakhouse,Steakhouse,"The steak here is cooked to perfection! So juicy and flavorful. The sides are also delicious, especially the mashed potatoes. Highly recommend!",Positive,5
395,The Steakhouse,Steakhouse,"The steak was overcooked and tough, and the sides were bland. Not worth the price. Disappointed with the quality of food.",Negative,2
396,The Mexican Grill,Mexican,The tacos here are amazing! So much flavor and the tortillas are freshly made. The guacamole is also delicious. Would definitely recommend.,Positive,5
397,The Mexican Grill,Mexican,The service was slow and the food was not worth the price. Disappointed with the overall experience.,Negative,2
